@relation A012VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B,C}
@data
176.0,184.0,176.0,178.0,162.0,189.0,239.0,217.0,173.0,133.0,99.0,66.0,45.0,48.0,50.0,49.0,49.0,49.0,48.0,48.0,48.0,45.0,42.0,39.0,36.0,32.0,29.0,26.0,23.0,20.0,16.0,13.0,11.0,9.0,7.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,B
205.0,211.0,175.0,147.0,172.0,268.0,301.0,230.0,165.0,112.0,58.0,51.0,43.0,41.0,53.0,59.0,56.0,46.0,38.0,33.0,28.0,26.0,24.0,22.0,19.0,17.0,18.0,17.0,12.0,10.0,14.0,15.0,12.0,11.0,11.0,13.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,B
177.0,174.0,130.0,102.0,113.0,146.0,145.0,92.0,55.0,42.0,40.0,38.0,53.0,58.0,55.0,48.0,38.0,33.0,36.0,34.0,33.0,34.0,31.0,27.0,25.0,21.0,15.0,13.0,11.0,11.0,10.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,5.0,7.0,6.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,6.0,5.0,3.0,3.0,3.0,3.0,4.0,B
268.0,237.0,156.0,91.0,87.0,86.0,103.0,82.0,57.0,50.0,50.0,62.0,66.0,57.0,47.0,41.0,35.0,30.0,30.0,32.0,33.0,31.0,30.0,28.0,26.0,24.0,21.0,17.0,17.0,16.0,14.0,12.0,12.0,11.0,9.0,8.0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,B
251.0,234.0,133.0,80.0,86.0,127.0,138.0,93.0,60.0,37.0,30.0,31.0,44.0,49.0,49.0,41.0,32.0,29.0,30.0,28.0,26.0,25.0,21.0,17.0,14.0,12.0,9.0,7.0,6.0,6.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,6.0,7.0,3.0,6.0,7.0,B
129.0,126.0,120.0,126.0,124.0,157.0,191.0,132.0,71.0,44.0,35.0,37.0,43.0,47.0,49.0,45.0,38.0,33.0,31.0,28.0,26.0,22.0,18.0,13.0,11.0,9.0,8.0,7.0,6.0,4.0,3.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,B
149.0,118.0,107.0,130.0,133.0,151.0,170.0,120.0,66.0,34.0,28.0,30.0,46.0,52.0,50.0,44.0,38.0,31.0,25.0,21.0,21.0,20.0,18.0,13.0,12.0,12.0,10.0,8.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,B
154.0,131.0,102.0,103.0,153.0,246.0,251.0,162.0,92.0,52.0,37.0,34.0,46.0,51.0,54.0,54.0,44.0,33.0,31.0,29.0,28.0,25.0,20.0,18.0,16.0,12.0,9.0,9.0,8.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,5.0,4.0,3.0,3.0,4.0,5.0,7.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,B
321.0,271.0,140.0,74.0,105.0,190.0,223.0,190.0,145.0,92.0,48.0,46.0,43.0,39.0,42.0,43.0,42.0,36.0,31.0,29.0,28.0,24.0,23.0,21.0,20.0,21.0,20.0,18.0,16.0,14.0,15.0,14.0,11.0,8.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0,8.0,5.0,3.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,B
108.0,112.0,132.0,147.0,116.0,146.0,199.0,147.0,83.0,45.0,40.0,44.0,63.0,70.0,65.0,55.0,47.0,41.0,39.0,39.0,38.0,35.0,30.0,26.0,24.0,22.0,20.0,17.0,13.0,12.0,11.0,8.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,8.0,7.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,6.0,9.0,B
