@relation A012VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B}
@data
5.0,10.0,32.0,63.0,66.0,18.0,26.0,48.0,38.0,20.0,26.0,73.0,97.0,40.0,17.0,23.0,12.0,7.0,6.0,7.0,9.0,5.0,9.0,4.0,3.0,5.0,5.0,5.0,7.0,6.0,5.0,6.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,6.0,5.0,4.0,5.0,2.0,3.0,5.0,2.0,A
6.0,14.0,40.0,71.0,68.0,58.0,87.0,88.0,75.0,92.0,149.0,221.0,225.0,155.0,121.0,118.0,101.0,84.0,80.0,82.0,77.0,60.0,45.0,34.0,30.0,31.0,33.0,38.0,47.0,56.0,59.0,53.0,43.0,32.0,25.0,21.0,19.0,19.0,22.0,25.0,26.0,24.0,24.0,25.0,23.0,19.0,16.0,15.0,16.0,18.0,19.0,17.0,14.0,15.0,13.0,7.0,4.0,7.0,9.0,8.0,8.0,7.0,4.0,A
4.0,10.0,40.0,69.0,64.0,22.0,42.0,70.0,48.0,27.0,45.0,122.0,144.0,49.0,21.0,35.0,19.0,14.0,10.0,17.0,24.0,12.0,7.0,3.0,3.0,3.0,4.0,5.0,6.0,19.0,18.0,13.0,9.0,7.0,4.0,3.0,2.0,3.0,5.0,6.0,6.0,4.0,3.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,4.0,5.0,6.0,3.0,3.0,3.0,4.0,4.0,6.0,5.0,7.0,A
7.0,18.0,45.0,85.0,80.0,64.0,89.0,90.0,74.0,89.0,147.0,224.0,227.0,155.0,126.0,127.0,110.0,93.0,90.0,95.0,89.0,71.0,56.0,48.0,40.0,38.0,45.0,56.0,70.0,83.0,82.0,70.0,56.0,44.0,34.0,27.0,25.0,27.0,29.0,29.0,29.0,29.0,26.0,21.0,20.0,19.0,20.0,24.0,27.0,31.0,33.0,33.0,33.0,31.0,28.0,22.0,19.0,16.0,12.0,7.0,5.0,3.0,2.0,A
7.0,10.0,42.0,76.0,74.0,24.0,48.0,75.0,47.0,22.0,51.0,133.0,155.0,50.0,27.0,40.0,30.0,12.0,13.0,27.0,30.0,16.0,9.0,6.0,5.0,3.0,8.0,10.0,19.0,28.0,26.0,18.0,17.0,13.0,5.0,3.0,5.0,5.0,8.0,5.0,7.0,7.0,6.0,6.0,4.0,4.0,5.0,8.0,3.0,9.0,10.0,11.0,8.0,9.0,12.0,7.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,A
8.0,19.0,47.0,91.0,85.0,70.0,98.0,107.0,81.0,116.0,192.0,277.0,265.0,178.0,144.0,142.0,121.0,108.0,111.0,115.0,103.0,79.0,59.0,47.0,45.0,49.0,60.0,72.0,85.0,96.0,96.0,82.0,63.0,51.0,45.0,38.0,31.0,29.0,33.0,36.0,37.0,38.0,40.0,40.0,35.0,30.0,25.0,21.0,22.0,24.0,27.0,35.0,40.0,40.0,36.0,29.0,24.0,21.0,17.0,13.0,11.0,13.0,15.0,A
7.0,15.0,47.0,92.0,81.0,29.0,61.0,95.0,54.0,32.0,77.0,172.0,181.0,55.0,39.0,48.0,25.0,17.0,24.0,38.0,39.0,19.0,14.0,7.0,8.0,7.0,16.0,16.0,29.0,37.0,35.0,27.0,14.0,9.0,12.0,7.0,4.0,5.0,6.0,11.0,6.0,10.0,11.0,13.0,9.0,8.0,5.0,6.0,7.0,6.0,9.0,14.0,15.0,15.0,9.0,9.0,8.0,9.0,5.0,8.0,6.0,5.0,8.0,A
8.0,16.0,40.0,76.0,74.0,67.0,92.0,98.0,74.0,99.0,165.0,252.0,253.0,169.0,134.0,132.0,114.0,101.0,103.0,110.0,106.0,84.0,60.0,46.0,45.0,50.0,56.0,68.0,85.0,98.0,99.0,88.0,71.0,55.0,43.0,33.0,29.0,31.0,34.0,36.0,39.0,41.0,39.0,30.0,18.0,16.0,17.0,27.0,38.0,46.0,52.0,56.0,56.0,53.0,44.0,35.0,27.0,22.0,13.0,7.0,6.0,6.0,6.0,A
7.0,10.0,43.0,79.0,70.0,24.0,53.0,85.0,48.0,29.0,58.0,157.0,175.0,58.0,34.0,41.0,25.0,14.0,17.0,33.0,40.0,22.0,9.0,6.0,3.0,9.0,8.0,12.0,23.0,30.0,35.0,26.0,17.0,11.0,10.0,3.0,2.0,5.0,5.0,9.0,6.0,13.0,14.0,8.0,9.0,6.0,4.0,10.0,8.0,14.0,15.0,17.0,17.0,17.0,13.0,10.0,8.0,8.0,8.0,5.0,3.0,4.0,5.0,A
9.0,23.0,56.0,104.0,105.0,78.0,106.0,112.0,94.0,136.0,213.0,297.0,273.0,180.0,146.0,141.0,123.0,117.0,120.0,119.0,104.0,79.0,60.0,48.0,40.0,40.0,48.0,62.0,79.0,92.0,93.0,80.0,61.0,43.0,27.0,20.0,21.0,28.0,36.0,39.0,40.0,41.0,36.0,26.0,20.0,24.0,34.0,45.0,54.0,63.0,70.0,71.0,69.0,62.0,52.0,38.0,26.0,21.0,13.0,6.0,7.0,11.0,13.0,A
