@relation A0VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B}
@data
80.3,49.85,36.75,47.25,43.55,26.3,22.25,20.4,26.15,28.4,28.1,23.75,17.2,14.3,10.85,11.4,9.6,8.7,8.15,8.1,8.45,6.2,4.3,4.3,4.5,5.25,3.7,4.1,4.45,3.0,3.0,2.6,4.15,3.45,2.5,1.3,1.05,1.9,2.15,1.1,1.8,3.45,2.85,2.85,2.0,1.35,2.6,3.75,1.85,1.1,1.25,2.45,2.25,1.3,1.35,2.65,2.25,1.3,1.2,0.9,1.05,1.5,1.0,B
71.1,47.75,34.2,47.9,37.7,34.6,33.8,26.3,22.55,22.45,21.2,16.5,15.1,14.45,10.75,8.5,6.45,5.4,4.95,5.0,6.15,4.9,4.05,5.05,3.75,2.05,2.45,3.9,3.0,2.6,2.0,2.7,2.25,1.4,1.25,0.7,0.4,1.3,1.6,1.6,1.35,0.65,1.5,1.55,1.7,1.85,1.65,1.15,1.2,1.4,1.45,1.7,1.1,0.35,0.3,0.65,1.1,1.7,2.55,2.15,1.75,0.55,0.35,B
72.85,44.6,29.65,47.7,35.65,34.7,44.75,36.6,25.75,25.3,23.35,19.85,20.2,16.15,11.0,8.3,5.05,5.45,3.4,1.6,4.1,4.0,2.3,3.7,5.35,6.3,4.25,3.5,3.55,3.8,4.45,3.75,2.85,1.95,2.4,1.8,1.9,2.3,3.55,1.95,0.6,1.15,2.05,2.9,1.65,1.8,1.9,1.0,0.75,0.4,1.1,0.8,0.35,0.0,0.4,0.95,2.6,2.4,1.5,0.55,1.0,1.15,0.85,B
67.95,39.5,33.15,49.75,33.8,32.35,42.1,32.8,21.95,19.75,11.3,13.6,13.9,12.4,10.6,7.95,3.1,1.75,4.0,4.9,5.9,4.6,6.0,6.65,6.85,4.5,4.4,3.95,4.8,3.45,2.6,2.3,2.15,3.05,3.7,2.65,1.75,2.5,2.0,1.8,3.2,2.7,2.1,1.8,1.65,2.25,1.55,1.75,1.65,1.0,1.25,1.05,1.2,1.55,1.1,0.6,1.05,1.15,2.1,2.8,1.95,1.65,2.8,B
62.8,43.55,37.35,50.55,34.35,27.0,36.95,32.5,23.3,21.95,15.9,16.1,17.1,16.2,13.75,12.5,9.2,6.55,4.45,4.45,3.9,3.5,2.65,3.9,4.95,4.55,3.4,2.65,2.75,2.2,1.45,3.15,3.85,2.4,2.0,1.75,1.05,1.2,1.05,0.95,1.65,2.1,1.1,1.05,0.7,1.0,1.4,2.6,2.25,2.45,1.15,0.65,0.95,1.0,0.95,0.65,0.65,1.95,2.0,1.1,1.75,1.25,0.4,B
63.45,37.55,29.7,40.3,26.15,32.75,37.3,31.5,18.3,17.4,18.05,17.0,15.7,14.05,11.2,8.05,7.0,4.65,4.15,2.3,1.65,3.0,3.4,3.65,3.8,2.15,1.9,1.6,3.2,3.15,1.95,1.8,2.35,2.7,2.4,1.25,1.95,1.9,1.5,1.05,1.55,1.25,0.9,0.95,0.7,0.5,1.45,2.0,0.6,0.55,1.4,1.3,2.8,2.95,1.75,0.65,0.8,0.9,2.1,1.7,0.85,1.3,1.75,B
58.2,35.75,33.8,36.5,25.85,28.5,45.1,37.6,21.25,25.0,24.65,21.8,20.85,17.2,13.1,10.5,7.05,5.6,4.1,4.3,4.1,3.8,3.45,2.3,2.4,2.6,2.95,3.15,1.45,1.0,2.25,3.4,2.0,2.05,2.55,2.2,1.1,2.55,2.2,1.85,2.4,1.45,0.95,1.5,2.25,1.75,0.55,0.95,0.8,1.8,1.75,1.15,1.9,2.0,2.2,1.85,1.35,1.6,0.9,0.55,1.0,1.95,1.7,B
57.1,32.85,20.45,27.6,21.4,36.6,43.0,31.0,18.7,15.45,14.45,11.7,9.4,7.6,7.15,6.4,4.1,2.75,2.6,2.5,3.4,1.95,1.65,0.9,2.0,2.0,3.35,3.15,1.8,1.3,1.55,1.95,2.6,2.0,1.75,1.35,1.35,0.9,0.2,0.2,1.05,1.0,1.65,1.3,1.1,1.7,2.2,3.1,2.1,0.9,1.4,1.3,1.05,1.0,0.6,1.15,1.65,0.9,1.1,0.7,0.5,0.25,0.25,B
87.25,48.65,32.9,51.15,33.35,40.15,48.45,35.45,22.5,15.15,12.2,15.3,17.85,14.35,12.6,11.0,7.45,5.8,5.1,3.9,3.3,2.35,3.15,3.2,4.0,3.2,3.4,2.45,1.4,1.4,1.6,2.2,2.45,1.85,1.3,1.5,1.4,1.85,1.85,1.4,1.25,1.15,1.7,1.2,1.0,1.15,1.25,1.3,1.15,1.45,1.25,1.3,1.55,1.4,0.7,0.65,0.85,0.7,0.85,1.35,1.35,2.2,1.5,B
71.8,56.55,46.05,59.85,44.25,21.85,27.25,26.65,28.7,30.9,27.1,25.9,22.45,22.8,23.15,16.9,13.8,10.6,11.15,9.2,7.45,6.55,6.45,5.4,6.35,5.7,5.3,5.45,4.65,3.15,2.2,1.65,1.55,0.65,1.4,1.75,1.65,1.45,2.15,4.05,2.2,1.3,1.15,1.8,1.3,0.8,0.9,1.15,2.45,2.5,1.45,1.6,1.05,0.95,1.1,1.3,0.5,0.75,1.85,1.85,0.45,1.0,1.2,B
