@relation accData
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label numeric
@data
135.0,238.0,254.0,0.0
135.0,239.0,255.0,0.0
135.0,239.0,257.0,0.0
136.0,239.0,257.0,0.0
135.0,240.0,259.0,0.0
136.0,239.0,258.0,0.0
135.0,239.0,258.0,0.0
135.0,238.0,256.0,0.0
136.0,238.0,254.0,0.0
135.0,238.0,254.0,0.0
135.0,237.0,254.0,0.0
136.0,237.0,254.0,0.0
135.0,237.0,254.0,0.0
135.0,237.0,255.0,0.0
135.0,237.0,255.0,0.0
135.0,238.0,257.0,0.0
135.0,238.0,258.0,0.0
135.0,239.0,258.0,0.0
136.0,238.0,257.0,0.0
136.0,238.0,257.0,0.0
135.0,239.0,256.0,0.0
136.0,238.0,256.0,0.0
136.0,238.0,255.0,0.0
135.0,238.0,255.0,0.0
135.0,238.0,254.0,0.0
135.0,237.0,255.0,0.0
135.0,237.0,256.0,0.0
135.0,237.0,256.0,0.0
135.0,238.0,256.0,0.0
135.0,238.0,257.0,0.0
136.0,238.0,256.0,0.0
136.0,238.0,256.0,0.0
135.0,238.0,256.0,0.0
135.0,238.0,255.0,0.0
135.0,239.0,255.0,0.0
136.0,238.0,256.0,0.0
136.0,238.0,256.0,0.0
135.0,238.0,256.0,0.0
136.0,237.0,256.0,0.0
135.0,237.0,256.0,0.0
136.0,237.0,256.0,0.0
136.0,238.0,256.0,0.0
135.0,238.0,256.0,0.0
136.0,238.0,255.0,0.0
135.0,239.0,256.0,0.0
135.0,238.0,256.0,0.0
135.0,239.0,256.0,0.0
135.0,238.0,256.0,0.0
136.0,238.0,256.0,0.0
136.0,238.0,256.0,0.0
135.0,237.0,256.0,0.0
136.0,237.0,256.0,0.0
135.0,237.0,256.0,0.0
135.0,237.0,256.0,0.0
135.0,238.0,255.0,0.0
135.0,238.0,255.0,0.0
135.0,238.0,256.0,0.0
135.0,238.0,256.0,0.0
135.0,238.0,256.0,0.0
136.0,238.0,257.0,0.0
135.0,238.0,257.0,0.0
135.0,238.0,257.0,0.0
136.0,238.0,256.0,0.0
136.0,238.0,256.0,0.0
135.0,237.0,256.0,0.0
