h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.7062641,0.47142163,0.24930497,0.031103913,0.026777785,0.35742658,0.22508496,0.079386026,0.028482974,0.011936324,0.14273064,0.09523797,0.0,0.0,0.0,0.0,0.7140623,0.5330431,0.37606934,0.22819741,0.10632695,0.033069067,0.008501983,0.002373253,9.910287E-4,1.5647823E-4,2.6079704E-5,5.215941E-5,2.6079704E-5,2.6079704E-5,0.0,0.0,0.0,0.0,0.105608895,0.20208277,0.09242268,0.08241386,0.16216666,0.36099258,0.4077798,0.19544993,0.1842893,0.24211803,0.18528225,0.1783714,0.64247066,0.008857008,A
0.7135621,0.47796592,0.22734177,0.030182015,0.028134175,0.33682248,0.22834994,0.07595912,0.027220523,0.011404895,0.16496141,0.097697735,0.0,0.0,0.0,0.0,0.7122682,0.5472326,0.3602028,0.22719683,0.10290022,0.03413542,0.009333295,0.0019758507,0.0011699116,1.2999018E-4,2.5998035E-5,2.5998035E-5,2.5998035E-5,2.5998035E-5,0.0,0.0,0.0,0.0,0.11015371,0.1981096,0.091575965,0.083341286,0.16739863,0.3525396,0.4136035,0.19226179,0.18661287,0.24039684,0.1861355,0.18179937,0.6423047,0.0089507345,A
0.6952933,0.49358946,0.22646897,0.03469015,0.028475095,0.35375074,0.22872034,0.08101767,0.029489798,0.008624973,0.16013277,0.09503325,0.0,0.0,0.0,0.0,0.7058811,0.5360478,0.39088288,0.22358167,0.10222368,0.032316882,0.010311122,0.002218849,0.0010180601,2.0883285E-4,0.0,5.2208212E-5,2.6104106E-5,0.0,2.6104106E-5,0.0,0.0,0.0,0.10302542,0.20605084,0.08996362,0.0816263,0.1679771,0.35651955,0.40701988,0.19636367,0.18556486,0.23765324,0.18596187,0.17806128,0.6444746,0.008813735,A
0.70309293,0.48686868,0.22996385,0.034918796,0.029220352,0.34982112,0.22546841,0.08132945,0.03194294,0.011555177,0.15629564,0.09085851,0.0,0.0,0.0,0.0,0.7050665,0.5440357,0.3842029,0.21903108,0.10063449,0.03271142,0.010730179,0.0025783682,8.073678E-4,3.1252948E-4,2.6044123E-5,0.0,2.6044123E-5,2.6044123E-5,0.0,0.0,0.0,0.0,0.104764596,0.20265874,0.09348592,0.079427294,0.16759159,0.35555628,0.4100434,0.1938026,0.18629672,0.24110155,0.1818885,0.18137223,0.64328164,0.0087370025,A
0.7130939,0.48979485,0.22761871,0.03629161,0.027652252,0.32113817,0.22588453,0.08213697,0.030868364,0.010247414,0.16562974,0.09118622,0.0,0.0,0.0,0.0,0.712276,0.5363947,0.3755599,0.22632337,0.106291525,0.03576139,0.009612996,0.00229876,0.0012277468,3.3958955E-4,5.2244544E-5,0.0,2.6122272E-5,2.6122272E-5,0.0,0.0,0.0,0.0,0.096708246,0.2106532,0.089519665,0.082529664,0.16490047,0.36173254,0.4075647,0.19448882,0.18487757,0.24572235,0.17991309,0.1844407,0.6391085,0.008022615,A
0.7237121,0.48476908,0.21399604,0.03298236,0.02986788,0.32331434,0.22365093,0.08069622,0.025756763,0.007786204,0.15070976,0.09468024,0.0,0.0,0.0,0.0,0.7212242,0.5232575,0.375213,0.22985646,0.105455264,0.034186188,0.01101265,0.0025052475,0.0011482384,2.0877062E-4,2.6096328E-5,5.2192656E-5,0.0,2.6096328E-5,2.6096328E-5,0.0,0.0,0.0,0.097376056,0.20836253,0.09400321,0.07860716,0.16225375,0.35740265,0.41366968,0.1959822,0.18177657,0.24304333,0.18812546,0.17864181,0.6395313,0.00869004,A
0.6994101,0.47332552,0.24801026,0.032952636,0.029811237,0.35087505,0.23294437,0.08305474,0.030484393,0.01170011,0.1638977,0.10536509,0.0,0.0,0.0,0.0,0.70131165,0.5447932,0.38552782,0.22396035,0.106159456,0.034950476,0.008632977,0.0022498062,0.0011772241,2.3544482E-4,2.6160536E-5,5.2321073E-5,2.6160536E-5,2.6160536E-5,0.0,0.0,0.0,0.0,0.10879722,0.19847926,0.09458031,0.07881029,0.17398794,0.35163963,0.4083878,0.1976828,0.18493935,0.24057248,0.19011638,0.1778508,0.64334524,0.009239003,A
0.70976835,0.47266096,0.23996145,0.031013915,0.028572125,0.3464806,0.22445449,0.08004,0.03091878,0.01109905,0.15871641,0.10176243,0.0,0.0,0.0,0.0,0.686161,0.5586358,0.38596556,0.23605178,0.10647688,0.031296637,0.009775272,0.002443818,9.1971643E-4,2.6277613E-4,5.2555224E-5,2.6277612E-5,2.6277612E-5,2.6277612E-5,0.0,0.0,0.0,0.0,0.093101844,0.21201016,0.09151375,0.08250133,0.16150887,0.36176714,0.40992603,0.19462056,0.1830672,0.24333526,0.18751386,0.18108208,0.63841265,0.008774203,A
0.6983033,0.48572788,0.22270866,0.029446715,0.030622043,0.35631478,0.23052299,0.079128124,0.028461982,0.011721509,0.1663247,0.10031578,0.0,0.0,0.0,0.0,0.7200059,0.5249815,0.3786611,0.22340249,0.10697156,0.033954676,0.009407244,0.0028404142,7.817654E-4,1.8241192E-4,0.0,7.817654E-5,2.6058846E-5,2.6058846E-5,0.0,0.0,0.0,0.0,0.10140903,0.20357396,0.09512318,0.08048273,0.17039423,0.3588503,0.4059544,0.19450323,0.18559165,0.24299975,0.18702388,0.17862947,0.64175326,0.009110501,A
0.72262347,0.46202067,0.23137334,0.032259695,0.028724385,0.33888462,0.22471307,0.08083863,0.031186474,0.010511231,0.16148786,0.09958839,0.0,0.0,0.0,0.0,0.7064757,0.5435655,0.37396428,0.22948046,0.10836287,0.032906137,0.009409221,0.0018557075,8.363752E-4,3.3977744E-4,2.6136726E-5,5.227345E-5,2.6136726E-5,0.0,0.0,0.0,0.0,0.0,0.096210375,0.20866767,0.09275443,0.08385636,0.16103916,0.3568364,0.41141653,0.19698896,0.18316516,0.24191625,0.18789227,0.1805037,0.6404624,0.009056963,A
